unique id,university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
5002,Alexandru Ioan Cuza University,2021,1001,,https://www.topuniversities.com/universities/alexandru-ioan-cuza-university,Romania,Iași,Europe,https://www.topuniversities.com/sites/default/files/alexandru-ioan-cuza-university_592560cf2aeae70239af5052_small.jpg,Public,Very High,22,1754,L,1077
5003,Amity University,2021,1001,,https://www.topuniversities.com/universities/amity-university,India,Noida,Asia,https://www.topuniversities.com/sites/default/files/amity-university_592560cf2aeae70239af563b_small.jpg,Private,Very High,13,3639,XL,2236
5004,An-Najah National University,2021,1001,,https://www.topuniversities.com/universities/najah-national-university,"Palestinian Territory, Occupied",Nablus,Asia,https://www.topuniversities.com/sites/default/files/an-najah-national-university_592560cf2aeae70239af5468_small.jpg,Public,Medium,18,2144,L,1011
5005,Aoyama Gakuin University,2021,1001,,https://www.topuniversities.com/universities/aoyama-gakuin-university,Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/aoyama-gakuin-university_592560cf2aeae70239af4a9a_small.jpg,Private,High,20,630,L,949
5006,Assiut University ,2021,1001,,https://www.topuniversities.com/universities/assiut-university,Egypt,Asyut,Africa,https://www.topuniversities.com/sites/default/files/assiut-university-_592560cf2aeae70239af4f3a_small.jpg,Public,High,14,1462,XL,5222
5007,Azerbaijan State University of Economics,2021,1001,,https://www.topuniversities.com/universities/azerbaijan-state-university-economics,Azerbaijan,Baku,Asia,https://www.topuniversities.com/sites/default/files/azerbaijan-state-university-of-economics_14955_small.jpg,Public,Medium,12,362,L,1451
5008,Baku State University,2021,1001,,https://www.topuniversities.com/universities/baku-state-university,Azerbaijan,Baku,Asia,https://www.topuniversities.com/sites/default/files/baku-state-university_592560cf2aeae70239af55d4_small.jpg,Public,High,11,364,L,2106
5009,Baylor College of Medicine,2021,,,https://www.topuniversities.com/universities/baylor-college-medicine,United States,Houston,North America,https://www.topuniversities.com/sites/default/files/baylor-college-of-medicine_48_small.jpg,Private,Very High,,210,S,4424
5010,Belarusian State University of Informatics and Radioelectronics,2021,1001,,https://www.topuniversities.com/universities/belarusian-state-university-informatics-radioelectronics,Belarus,Minsk,Europe,https://www.topuniversities.com/sites/default/files/belarusian-state-university-of-informatics-and-radioelectronics_592560cf2aeae70239af5a53_small.jpg,Public,Medium,20,417,L,703
5011,Benemérita Universidad Autónoma de Puebla,2021,1001,,https://www.topuniversities.com/universities/benemerita-universidad-autonoma-de-puebla,Mexico,Puebla,Latin America,https://www.topuniversities.com/sites/default/files/benemrita-universidad-autnoma-de-puebla_592560cf2aeae70239af5478_small.jpg,Public,Medium,32,283,XL,2414
5012,BI Norwegian Business School,2021,,69.8,https://www.topuniversities.com/universities/bi-norwegian-business-school,Norway,Oslo,Europe,https://www.topuniversities.com/sites/default/files/bi-norwegian-business-school_592560cf2aeae70239af4abb_small.jpg,Private,Very High,,,L,
5013,"Birla Institute of Technology and Science, Pilani",2021,1001,,https://www.topuniversities.com/universities/birla-institute-technology-science-pilani,India,Pilani,Asia,https://www.topuniversities.com/sites/default/files/birla-institute-of-technology-and-science-pilani_592560cf2aeae70239af4e0e_small.jpg,Private,Very High,18,289,L,776
5014,Birzeit university,2021,1001,,https://www.topuniversities.com/universities/birzeit-university,"Palestinian Territory, Occupied",Birzeit,Asia,https://www.topuniversities.com/sites/default/files/birzeit-university_592560cf2aeae70239af546c_small.jpg,Private,Medium,20,530,M,572
5015,Brigham Young University,2021,1001,,https://www.topuniversities.com/universities/brigham-young-university,United States,Provo,North America,https://www.topuniversities.com/sites/default/files/brigham-young-university_68_small.jpg,Private,Very High,21,1163,XL,1512
5016,Canterbury Christ Church University,2021,1001,,https://www.topuniversities.com/universities/canterbury-christ-church-university,United Kingdom,Bexleyheath,Europe,https://www.topuniversities.com/sites/default/files/canterbury-christ-church-university_592560cf2aeae70239af4dbc_small.jpg,Public,High,17,1522,M,674
5017,Central European University,2021,,70.1,https://www.topuniversities.com/universities/central-european-university,Austria,Vienna,Europe,https://www.topuniversities.com/sites/default/files/ceu_onlyletters_logo_2020-04-48x48.jpg,Private,Very High,,,S,
5018,Chung Yuan Christian University,2021,1001,,https://www.topuniversities.com/universities/chung-yuan-christian-university,Taiwan,Taoyuan City,Asia,https://www.topuniversities.com/sites/default/files/chung-yuan-christian-university_592560cf2aeae70239af524f_small.jpg,Public,High,21,1246,L,727
5019,Copenhagen Business School,2021,,84.7,https://www.topuniversities.com/universities/copenhagen-business-school,Denmark,Frederiksberg,Europe,https://www.topuniversities.com/sites/default/files/copenhagen-business-school_710_small.jpg,Public,Very High,,,L,
5020,Cranfield University,2021,,,https://www.topuniversities.com/universities/cranfield-university,United Kingdom,Bedford,Europe,https://www.topuniversities.com/sites/default/files/cranfield-university_592560cf2aeae70239af4b15_small.jpg,Public,Very High,5,2052,S,623
5021,Damascus University,2021,1001,,https://www.topuniversities.com/universities/damascus-university,Syrian Arab Republic,Damascus,Asia,https://www.topuniversities.com/sites/default/files/damascus-university_592560cf2aeae70239af546d_small.jpg,Public,Medium,67,2184,XL,2597
5022,Diponegoro University,2021,1001,,https://www.topuniversities.com/universities/diponegoro-university,Indonesia,Semarang,Asia,https://www.topuniversities.com/sites/default/files/diponegoro-university_592560cf2aeae70239af4b23_small.jpg,Public,High,14,741,XL,2852
5023,Dokuz Eylül Üniversitesi,2021,1001,,https://www.topuniversities.com/universities/dokuz-eylul-universitesi,Turkey,Izmir,Asia,https://www.topuniversities.com/sites/default/files/dokuz-eyll-niversitesi_592560cf2aeae70239af50b2_small.jpg,Public,High,27,110,XL,2238
5024,Doshisha University,2021,1001,,https://www.topuniversities.com/universities/doshisha-university,Japan,Kyoto,Asia,https://www.topuniversities.com/sites/default/files/doshisha-university_592560cf2aeae70239af4b25_small.jpg,Private,High,20,1213,L,1441
5025,Academician Y.A. Buketov Karaganda University,2021,1001,,https://www.topuniversities.com/universities/eabuketov-karaganda-state-university,Kazakhstan,Karaganda,Asia,https://www.topuniversities.com/sites/default/files/academician-y.a.-buketov-karaganda-university_592560cf2aeae70239af52e9_small.jpg,Private,High,9,572,M,1
5026,EGE UNIVERSITY,2021,1001,,https://www.topuniversities.com/universities/ege-university,Turkey,İzmir,Asia,https://www.topuniversities.com/sites/default/files/ege-niversitesi_592560cf2aeae70239af50a1_small.jpg,Public,High,14,1697,XL,3165
5027,ESCP Business School - Paris,2021,,73.6,https://www.topuniversities.com/universities/escp-business-school-paris,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/escp-business-school-paris_592560cf2aeae70239af4b44_small.jpg,Private,High,,,S,
5028,Escuela Superior Politécnica del Litoral (ESPOL),2021,1001,,https://www.topuniversities.com/universities/escuela-superior-politecnica-del-litoral-espol,Ecuador,Guayaquil,Latin America,https://www.topuniversities.com/sites/default/files/escuela-superior-politcnica-del-litoral-espol_592560cf2aeae70239af547f_small.jpg,Public,Very High,14,112,M,828
5029,ESSEC Business School,2021,,,https://www.topuniversities.com/universities/essec-business-school,France,Cergy,Europe,https://www.topuniversities.com/sites/default/files/essec-business-school_198_small.jpg,Private,Very High,,,M,
5030,Feng Chia University,2021,1001,,https://www.topuniversities.com/universities/feng-chia-university,Taiwan,Taichung City,Asia,https://www.topuniversities.com/sites/default/files/feng-chia-university_592560cf2aeae70239af4a87_small.jpg,Private,Very High,22,1425,L,855
5031,Fu Jen Catholic University,2021,1001,,https://www.topuniversities.com/universities/fu-jen-catholic-university,Taiwan,New Taipei City,Asia,https://www.topuniversities.com/sites/default/files/fu-jen-catholic-university_217_small.jpg,Private,Medium,24,2059,L,791
5032,Gazi Üniversitesi,2021,1001,,https://www.topuniversities.com/universities/gazi-universitesi,Turkey,Ankara,Asia,https://www.topuniversities.com/sites/default/files/gazi-niversitesi_592560cf2aeae70239af50b8_small.jpg,Public,High,20,1067,XL,2097
5033,German University in Cairo,2021,1001,,https://www.topuniversities.com/universities/german-university-cairo,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/german-university-in-cairo_592560e29988f300e232125e_small.jpg,Private,Medium,17,49,L,743
5034,Institut polytechnique de Grenoble - Grenoble Institute of Technology,2021,,,https://www.topuniversities.com/universities/institut-polytechnique-de-grenoble-grenoble-institute-technology,France,Grenoble,Europe,https://www.topuniversities.com/sites/default/files/institut-polytechnique-de-grenoble-grenoble-institute-of-technology_1296_small.jpg,Public,Medium,15,1739,M,440
5035,Hanoi University of Science and Technology,2021,1001,,https://www.topuniversities.com/universities/hanoi-university-science-technology,Vietnam,Hanoi,Asia,https://www.topuniversities.com/sites/default/files/hanoi-university-of-science-and-technology_592560cf2aeae70239af585f_small.jpg,Public,Very High,30,146,XL,1119
5036,HEC Paris School of Management,2021,,,https://www.topuniversities.com/universities/hec-paris-school-management,France,Paris,Europe,https://www.topuniversities.com/sites/default/files/hec-paris-school-of-management_257_small.jpg,Private,Very High,,,S,
